Sample	Cancer type	DITHER score	mDITHER score	cDITHER score
TCGA-DK-A6B0-01A	BLCA	2.389994345	2.670437798	2.109550893
TCGA-DK-A6B1-01A	BLCA	3.096683009	3.669168523	2.524197495
TCGA-DK-A6B2-01A	BLCA	3.219508406	3.482126278	2.956890534
TCGA-DK-A6B5-01A	BLCA	3.232567284	3.726089059	2.739045509
TCGA-DK-A6B6-01A	BLCA	3.142566828	3.368079261	2.917054394
TCGA-DK-AA6L-01A	BLCA	3.021094229	3.05955626	2.982632198
TCGA-DK-AA6M-01A	BLCA	2.9242122	3.124151956	2.724272443
TCGA-DK-AA6P-01A	BLCA	3.25278131	3.554708416	2.950854204
TCGA-DK-AA6Q-01A	BLCA	2.910202388	3.511201683	2.309203093
TCGA-DK-AA6R-01A	BLCA	2.97990687	3.267385543	2.692428197
TCGA-DK-AA6S-01A	BLCA	3.003853995	3.396010937	2.611697054
TCGA-DK-AA6T-01A	BLCA	2.597725651	3.179376606	2.016074695
TCGA-DK-AA6U-01A	BLCA	3.293522415	3.686578863	2.900465967
TCGA-DK-AA6W-01A	BLCA	3.433209434	3.858996344	3.007422524
TCGA-DK-AA6X-01A	BLCA	2.570485266	2.600044168	2.540926365
TCGA-DK-AA71-01A	BLCA	3.298855637	3.733503317	2.864207957
TCGA-DK-AA74-01A	BLCA	2.251185302	2.304403998	2.197966606
TCGA-DK-AA75-01A	BLCA	3.314032873	3.754604664	2.873461081
TCGA-DK-AA76-01A	BLCA	3.287120345	3.881389466	2.692851224
TCGA-DK-AA77-01A	BLCA	2.874136029	3.480334787	2.26793727
TCGA-E5-A2PC-01A	BLCA	3.093435468	3.734352106	2.452518829
TCGA-E5-A4TZ-01A	BLCA	3.16778545	3.633232556	2.702338343
TCGA-E5-A4U1-01A	BLCA	3.694960175	4.110117808	3.279802541
TCGA-E7-A3X6-01A	BLCA	2.5184179	2.995222951	2.041612848
TCGA-E7-A3Y1-01A	BLCA	2.603350811	3.379915279	1.826786344
TCGA-E7-A4IJ-01A	BLCA	3.511392729	3.834410087	3.188375371
TCGA-E7-A4XJ-01A	BLCA	2.19516109	2.813186689	1.577135492
TCGA-E7-A519-01A	BLCA	2.48118779	2.970938543	1.991437038
TCGA-E7-A541-01A	BLCA	2.542524149	2.356742906	2.728305392
TCGA-E7-A5KE-01A	BLCA	3.226965443	3.788550623	2.665380263
TCGA-E7-A5KF-01A	BLCA	3.067163487	3.482933164	2.65139381
TCGA-E7-A677-01A	BLCA	2.843781505	3.415697152	2.271865858
TCGA-E7-A678-01A	BLCA	2.795650822	3.364492371	2.226809274
TCGA-E7-A6MD-01A	BLCA	2.978450283	3.296479219	2.660421348
TCGA-E7-A6ME-01A	BLCA	3.34762896	3.725363811	2.969894109
